Location,Latitude,Longtitude
Fulham,51.471998,-0.210484
Fulwell,51.433496,-0.350289
Gallows Corner,51.308098,-0.239985
Gants Hill,51.576508,0.066368
Gidea Park,51.587399,0.205193
Gipsy Hill,51.424696,-0.083184
Goddington,51.51683,-0.169602
Golders Green,51.565995,-0.195087
Goodmayes,51.566298,0.113493
Gospel Oak,51.555334,-0.151276
Grahame Park,51.507351,-0.12766
Grange Park,51.641597,-0.094988
Greenford,51.5275,-0.349283
Greenwich,51.480323,-0.007492
Grove Park (Hounslow),51.591406,-0.261859
Grove Park (Lewisham),51.591406,-0.261859
Gunnersbury,51.493026,-0.282215
Hackney,51.545914,-0.052974
Hackney Central,51.5469,-0.058983
Hackney Marshes,51.545914,-0.052974
Hackney Wick,51.5455,-0.025386
Hadley Wood,51.673796,-0.159289
Haggerston,51.527998,-0.078073
Hainault,51.595899,0.094099
The Hale,51.515597,-0.092005
Ham,51.434198,-0.304385
Hammersmith,51.501695,-0.227184
Hampstead,51.557137,-0.177399
Hampstead Garden Suburb,51.587595,-0.189688
Hampton,51.413598,-0.368381
Hampton Hill,51.426898,-0.353388
Hampton Wick,51.412497,-0.317285
Hanwell,51.501997,-0.330185
Hanworth,51.431794,-0.389285
Harefield,51.605096,-0.480482
Harlesden,51.538705,-0.250414
Harlington,51.489196,-0.369486
Harmondsworth,51.481798,-0.47679
Harold Hill,51.601096,0.211796
Harold Park,51.507351,-0.12766
Harold Wood,51.591299,0.243695
Harringay,51.577717,-0.105399
Harrow,51.584388,-0.350594
Harrow on the Hill,51.5673,-0.337183
Harrow Weald,51.602595,-0.336383
Hatch End,51.617697,-0.361186
Hatton,51.466298,-0.408689
Havering-atte-Bower,51.617098,0.183795
Hayes (Bromley),51.512895,-0.396184
Hayes (Hillingdon),51.512895,-0.396184
Hazelwood,51.334199,0.077291
Hendon,51.596995,-0.222782
Herne Hill,51.453896,-0.095482
Heston,51.482499,-0.371687
Highams Park,51.608597,-0.016089
Highbury,51.546077,-0.098644
Highgate,51.571599,-0.153387
Hillingdon,51.537876,-0.450388
Hither Green,51.445095,0.001797
Holborn,51.518399,-0.116386
Holland Park,51.507032,-0.206154
Holloway,51.492959,-0.462902
Homerton,51.545096,-0.039786
Honor Oak,51.450899,-0.044889
Hook,51.378706,-0.301322
Hornchurch,51.560195,0.230499
Horn Park,51.507351,-0.12766
Hornsey,51.587198,-0.121488
Hounslow,51.467128,-0.367016
Hoxton,51.507351,-0.12766
The Hyde,51.577795,-0.240982
Ickenham,51.557199,-0.44799
Ilford,51.559495,0.085097
Isle of Dogs,51.492499,-0.022988
Isleworth,51.462095,-0.329484
Islington,51.544856,-0.099947
Kenley,51.321497,-0.090586
Kennington (Lambeth),51.478696,-0.121991
Kennington (Southwark),51.478696,-0.121991
Kensal Green,51.532795,-0.231882
Kensington,51.50017,-0.209523
Kentish Town,51.545808,-0.140272
Kenton (Brent),51.587298,-0.302984
Kenton (Harrow),51.587298,-0.302984
Keston,51.361196,0.030992
Kew,51.476099,-0.290686
Kidbrooke,51.464985,0.033166
Kilburn (Brent),51.546922,-0.204762
Kilburn (Camden),51.546922,-0.204762
King's Cross (Camden),51.531769,-0.12342
King's Cross (Islington),51.531769,-0.12342
Kingsbury,51.580896,-0.277588
Kingston Vale,51.437651,-0.252238
Kingston upon Thames,51.409519,-0.298986
Knightsbridge,51.502065,-0.159415
Ladywell,51.457595,-0.023087
Lambeth,51.491736,-0.110277
Lamorbey,51.507351,-0.12766
Lampton,51.476295,-0.363081
Lea Bridge,51.218193,1.384987
Leamouth,51.507351,-0.12766
Leaves Green,51.335595,0.030192
Lee,51.449642,0.015092
Lessness Heath,51.561807,-0.164994
Lewisham,51.455849,-0.012567
Leyton,51.55772,-0.005004
Leytonstone,51.570994,-0.007582
Limehouse,51.512396,-0.039382
Lisson Grove,51.511185,-0.103396
Little Ilford,51.559495,0.085097
Little Venice,51.50068,-0.128127
Locksbottom,51.364897,0.058193
Longford,51.483425,-0.485162
Longlands,51.507351,-0.12766
Lower Clapton,51.551498,-0.051986
Lower Morden,51.393196,-0.199687
Loxford,51.562798,0.070194
Maida Vale,51.530862,-0.184478
Malden Rushett,51.330896,-0.323888
Manor House,51.562395,-0.177588
Manor Park,51.553296,0.055399
Marks Gate,51.583896,0.143596
Maryland,51.545813,0.00521
Marylebone (also St Marylebone),51.514599,-0.150585
Mayfair,51.50706,-0.151707
Maze Hill,51.483184,0.008624
Merton Park,51.4088,-0.192904
Middle Park,51.507351,-0.12766
Mile End,51.525796,-0.034289
Mill Hill,51.615297,-0.215389
Millbank,51.496205,-0.125405
Millwall,51.496497,-0.024488
Mitcham,51.406294,-0.163484
Monken Hadley,51.663295,-0.198285
Morden,51.393196,-0.199687
Morden Park,51.389397,-0.216584
Mortlake,51.4699,-0.254681
Motspur Park,51.390285,-0.253136
Mottingham,51.436696,0.046892
Muswell Hill (Haringey),51.591299,-0.148285
Muswell Hill (Barnet),51.591299,-0.148285
Nag's Head,51.513618,-0.045536
Neasden,51.558464,-0.245294
New Addington,51.507351,-0.12766
New Barnet,51.652098,-0.170788
New Cross,51.475241,-0.038897
New Eltham,51.438066,0.0705
New Malden,51.399108,-0.256622
New Southgate,51.613771,-0.142688
Newbury Park,51.573715,0.084873
Newington,51.495617,-0.099596
Nine Elms,51.481697,-0.134388
Noak Hill,51.620599,0.227992
Norbiton,51.406396,-0.279385
Norbury,53.37974,-2.121021
North Cray,51.428139,0.137505
North End,51.569399,-0.174686
North Finchley,51.507351,-0.12766
North Harrow,51.580896,-0.364581
North Kensington,51.507351,-0.12766
North Ockendon,51.496407,0.232412
North Sheen,51.471695,-0.292482
North Woolwich,51.499648,0.063017
Northolt,51.540666,-0.382539
Northumberland Heath,51.475095,0.164293
Northwood,51.605599,-0.444783
Norwood Green,51.493099,-0.367788
Notting Hill,51.505288,-0.214113
Nunhead,51.467297,-0.055282
Oakleigh Park,51.634297,-0.17439
Old Coulsdon,51.298897,-0.111885
Old Ford,51.533299,-0.040882
Old Malden,51.384597,-0.250684
Old Oak Common,51.282788,1.067091
Orpington,51.382495,0.108597
Osidge,51.635795,-0.138188
Osterley,51.481636,-0.348223
Oval,51.481832,-0.112433
Paddington,51.51683,-0.169602
Palmers Green,51.614789,-0.127606
Park Royal (Brent),51.528099,-0.266189
Park Royal (Ealing),51.528099,-0.266189
Parsons Green,51.473199,-0.198088
Peckham,51.467796,-0.065882
Penge,51.413497,-0.051186
Pentonville,51.53619,-0.115964
Perivale,51.530397,-0.325783
Petersham,51.446279,-0.301466
Petts Wood,51.3877,0.063295
Pimlico,51.486997,-0.137083
Pinner,51.585698,-0.359488
Plaistow (Newham),51.525197,0.027695
Plaistow (Bromley),51.525197,0.027695
Plumstead,51.489796,0.084298
Ponders End,51.6515,-0.045886
Poplar,51.510625,-0.024794
Pratt's Bottom,51.340496,0.112891
Preston,51.580868,-0.28915
Primrose Hill,51.538901,-0.160933
Purley,51.334497,-0.121183
Putney,51.460799,-0.217087
Queen's Park,51.53401,-0.205454
Queensbury (Harrow),51.600939,-0.295734
Queensbury (Brent),51.600939,-0.295734
Rainham,51.532016,0.18534
Ratcliff,51.507351,-0.12766
Rayners Lane,51.568195,-0.363171
Raynes Park,51.407278,-0.227687
Redbridge,51.576581,0.070527
Richmond,51.463223,-0.300648
Riddlesdown,51.333698,-0.097988
Roehampton,51.453065,-0.248034
Romford,51.581114,0.143102
Rotherhithe,51.498129,-0.060088
Ruislip,51.565195,-0.41389
Rush Green,51.565794,0.175881
Ruxley (Bexley),51.507351,-0.12766
Ruxley (Bromley),51.507351,-0.12766
Sanderstead,51.334599,-0.080588
Sands End,51.603155,-0.632989
Selhurst,51.398496,-0.091484
Selsdon,51.3426,-0.065083
Seven Kings,51.565099,0.102794
Seven Sisters,51.583135,-0.075117
Shacklewell,51.547735,-0.075485
Shadwell,51.510546,-0.042239
Shepherd's Bush,51.505597,-0.230085
Shirley,51.374399,-0.052983
Shooter's Hill,51.4659,0.088098
Shoreditch,51.527309,-0.077857
Sidcup,51.433968,0.103702
Silvertown,51.502698,0.028998
Sipson,52.069009,-0.69897
Slade Green,51.468099,0.189985
Snaresbrook (Redbridge),51.591797,0.024398
Snaresbrook (Waltham Forest),51.591797,0.024398
Soho,51.512194,-0.12969
Somerstown,51.507351,-0.12766
South Croydon,51.352495,-0.098285
South Hackney,51.507351,-0.12766
South Harrow,51.560699,-0.363189
South Hornchurch,51.524395,0.193398
South Kensington,51.494697,-0.172989
South Norwood,51.390296,-0.064786
South Ruislip,51.556779,-0.39869
South Wimbledon,51.416766,-0.192033
South Woodford,51.589,0.030893
South Tottenham,51.580443,-0.071668
Southend,51.593459,0.036552
Southall,51.511897,-0.365767
Southborough,51.162901,0.25452
Southfields,51.4402,-0.196084
Southgate,51.633095,-0.125782
Spitalfields,51.507351,-0.12766
St Helier,51.507351,-0.12766
St James's,51.523689,-0.105552
St Margarets,51.56211,0.038861
St Giles,51.507351,-0.12766
St Johns,51.580963,-0.33129
St John's Wood,51.527954,-0.173528
St Luke's,51.330035,1.400563
St Mary Cray,51.416569,0.115407
St Pancras,51.531657,-0.126357
St Paul's Cray,51.416569,0.115407
Stamford Hill,51.571308,-0.072817
Stanmore,51.618698,-0.306182
Stepney,51.523695,-0.039382
Stockwell,51.464065,-0.131945
Stoke Newington,51.572909,-0.088924
Stonebridge,51.541299,-0.260889
Stratford,51.541898,0.007393
Strawberry Hill,51.440896,-0.337785
Streatham,51.435736,-0.127354
Stroud Green,51.578999,-0.122988
Sudbury (Brent),51.557798,-0.321588
Sudbury (Ealing),51.557798,-0.321588
Sudbury (Harrow),51.557798,-0.321588
Sundridge,51.278399,0.127399
Surbiton,51.399996,-0.300388
Surrey Quays,51.310046,-0.060385
Sutton,51.351938,-0.191709
Swiss Cottage,51.543595,-0.174426
"Sydenham (also Lower Sydenham, Upper Sydenham) (Lewisham)",51.432996,-0.059388
"Sydenham (also Lower Sydenham, Upper Sydenham) (Bromley)",51.432996,-0.059388
Sydenham Hill (Lewisham),51.440525,-0.059424
Sydenham Hill (Southwark),51.440525,-0.059424
Teddington,51.428498,-0.322387
Temple (City),51.511029,-0.114436
Temple (Westminster),51.511029,-0.114436
Temple Fortune,51.582542,-0.193767
Thamesmead (Bexley),51.494299,0.158795
Thamesmead (Greenwich),51.494299,0.158795
Thornton Heath,51.401198,-0.118182
Tokyngton,51.507351,-0.12766
Tolworth,51.381798,-0.283284
Tooting,51.420495,-0.160385
Tooting Bec,51.435585,-0.159729
Tottenham,51.594075,-0.069566
Tottenham Green,51.511185,-0.103396
Tottenham Hale,51.588692,-0.059837
Totteridge,51.635096,-0.202588
Tower Hill,51.509801,-0.075997
Tufnell Park,51.5531,-0.131486
Tulse Hill,51.439908,-0.104986
Turnpike Lane,51.507351,-0.12766
Twickenham,51.443697,-0.330688
Upminster,51.556197,0.251394
Upminster Bridge,51.489611,-0.287578
Upper Clapton,51.563397,-0.057187
Upper Holloway,51.5587,-0.135286
Upper Norwood,51.415715,-0.081073
Upper Ruxley (Bexley),51.533921,-0.105408
Upper Ruxley (Bromley),51.533921,-0.105408
Upper Walthamstow,51.594595,0.011292
Upton,51.330035,1.400563
Upton Park,51.507351,-0.12766
Uxbridge,51.5421,-0.478389
Vauxhall,51.486195,-0.110187
Waddon,51.367995,-0.117383
Wallington,51.362197,-0.149884
Walthamstow,51.573698,-0.016682
Walthamstow Village,51.507351,-0.12766
Walworth,51.479796,-0.093182
Wandsworth,51.455838,-0.196075
Wanstead,51.565497,0.026393
Wapping,51.506735,-0.05256
Wealdstone,51.597398,-0.334685
Well Hall,51.541231,-0.041853
Welling,51.464906,0.103037
Wembley,51.553027,-0.309838
Wembley Park,51.558896,-0.283185
Wennington,51.508697,0.212694
West Brompton,51.486768,-0.19453
West Drayton,51.492499,-0.465085
West Ealing,51.512497,-0.311087
West Green,51.590896,-0.091188
West Hackney,51.507351,-0.12766
West Ham,51.527898,0.032097
West Hampstead,51.548446,-0.176142
West Harrow,51.581198,-0.342249
West Heath,51.342206,-0.738325
West Hendon,51.507351,-0.12766
West Kensington,51.490704,-0.20646
West Norwood,51.4307,-0.103684
West Wickham,51.375996,-0.015083
Westcombe Park,51.484193,0.017984
Westminster,51.499889,-0.125629
Whetstone,51.630998,-0.173986
White City,51.507228,-0.226959
Whitechapel,51.519324,-0.059334
Widmore (also Widmore Green),51.407435,0.027012
Whitton,51.455518,-0.338782
Willesden,51.548199,-0.228289
Wimbledon,51.422298,-0.207484
Winchmore Hill,51.628097,-0.097584
Wood Green,51.607797,-0.109684
Woodford,51.603099,0.034792
Woodford Green,51.602595,0.046191
Woodlands,51.464699,-0.328882
Woodside,51.387497,-0.065784
Woodside Park,51.618026,-0.185071
Woolwich,51.487138,0.063394
Worcester Park (Sutton),51.382697,-0.243488
Worcester Park (Kingston upon Thames),51.382697,-0.243488
Wormwood Scrubs,51.507351,-0.12766
Yeading,51.521565,-0.393184
Yiewsley,51.515496,-0.472882
